Time,Temperature
479,-0.92593384
480,-1.141178
481,-1.6493783
482,-2.4291997
483,-2.167957
484,-2.0175877
485,-1.8786628
486,-2.8612945
487,-3.0484016
488,-1.9970554
489,-1.5107569
490,-1.8830502
491,-3.2282596
492,-3.1909351
493,-2.6401927
494,-3.1898468
495,-3.5713153
496,-3.3041003
497,-4.1759663
498,-3.3164582
499,-2.8580787
500,-3.0175416
501,-3.6780417
502,-3.3543062
503,-3.7983248
504,-3.6375742
505,-3.4792361
506,-2.631338
507,-2.3132699
508,-1.8492378
509,-1.1704932
510,-1.212352
511,-0.58875287
512,0.2514041
513,-0.19984894
514,-0.58562994
515,-0.23527779
516,0.44673568
517,0.7052394
518,1.3156754
519,1.9261098
520,0.96042496
521,1.0115283
522,1.0493635
523,1.2157315
524,0.5569796
525,0.9743515
526,1.8633797
527,2.17319
528,0.5878636
529,-0.056511536
530,-0.23944978
531,-0.4384611
532,-0.6402629
533,0.5703816
534,0.412719
535,0.5030261
536,-0.14757718
537,0.6267947
538,0.9011149
539,-0.17460556
540,0.19428736
541,0.6015287
542,-0.28893268
543,-0.14100043
544,0.006197467
545,-0.5022337
546,-0.4539596
547,-0.78759795
548,-0.5081132
549,-1.6321529
550,-1.5354854
551,-2.100591
552,-1.7375938
553,-1.3373084
554,-1.6256294
555,-1.084802
556,-1.5645247
557,-2.0907686
558,-1.94941
559,-1.5515406
560,-2.9828496
561,-3.1419332
562,-3.136466
563,-2.4834976
564,-2.4704418
565,-2.3585274
566,-2.4390035
567,-2.4494066
568,-2.7416818
569,-2.3742108
570,-2.2022295
571,-1.5671102
572,-1.5412825
573,-1.6459745
574,-2.0893161
575,-1.9214455
576,-2.8750896
577,-2.8286748
578,-2.6911435
579,-2.3640673
580,-2.1456518
581,-1.388147
582,-1.7770493
583,-0.77687347
584,-1.5544813
585,-1.5256048
586,-0.25269687
587,-1.2311041
588,-1.1018322
589,-2.4316204
590,-2.7278464
591,-3.7157218
592,-3.0993726
593,-2.5485532
594,-2.43972
595,-1.4333531
596,-2.077972
597,-1.3863201
598,-1.6683936
599,-1.7958612
600,-1.8387488
601,-1.8974707
602,-2.0556238
603,-1.3869915
604,-1.9791416
605,-2.326479
606,-2.2639008
607,-2.2804482
608,-2.1888685
609,-1.7466649
610,-0.8375166
611,-1.4103369
612,-1.4777699
613,-1.0264344
614,-1.7086021
615,-2.8763847
616,-2.5783026
617,-1.2595496
618,-1.5503883
619,-1.1273531
620,-1.749005
621,-0.9690756
622,0.12072633
623,-0.01676221
624,-0.01622316
625,0.4471537
626,-0.15486728
627,0.7329747
628,0.74171895
629,1.1120386
630,1.2879821
631,1.3399585
632,0.82480377
633,0.7733906
634,0.28063065
635,-0.09945159
636,0.26926056
637,1.6044225
638,2.2509522
639,1.7782162
640,0.75147027
641,0.35757285
642,0.17935695
643,-0.2039935
644,-0.239382
645,-0.80706835
646,-0.5183471
647,0.168513
648,0.10907541
649,-0.54461694
650,-0.14168797
651,-0.2845331
652,0.012517592
653,0.676928
654,1.5663887
655,1.939168
656,0.8891944
657,0.059103496
658,-1.0187812
659,-0.4717757
660,0.61071676
661,0.6645153
662,-0.04216698
663,0.122533925
664,0.6019903
665,0.6036591
666,0.7077168
667,0.67941505
668,0.4754522
669,-0.024714014
670,-2.203582
671,-2.8399608
672,-3.0846221
673,-2.4971564
674,-1.9432448
675,-1.7926512
676,-2.394477
677,-2.0639524
678,-1.6410424
679,-1.9424927
680,-2.0985646
681,-1.6378695
682,-1.8376393
683,-1.3889297
684,-1.2992957
685,-1.1282505
686,-1.3051655
687,-0.5513905
688,-0.50840694
689,-1.2310493
690,-2.0782044
691,-1.9937267
692,-2.0808244
693,-1.8139663
694,-1.7376955
695,-1.7795042
696,-1.7989503
697,-1.8783973
698,-1.997153
699,-2.0246108
700,-2.6056838
701,-2.641859
702,-2.7376132
703,-2.4954407
704,-3.2461767
705,-3.326479
706,-3.9530396
707,-3.7934806
708,-3.4491065
709,-3.2658746
710,-3.007989
711,-3.3448455
712,-3.7440994
